Align,Alive,date corrigé,EYE,First Appearance,GSM,Hair,ID,Name,SEX,Today,Universe,DC,Marvel,Number of Records,Time of existence,Total number of appearances
Good Characters,Deceased Characters,,Brown Eyes,01-03-2011,,Black Hair,Public Identity,Lattea (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,10,1
,Living Characters,,,01-05-2011,,,Secret Identity,Leatherchap (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Bad Characters,Living Characters,,,01-03-2011,,,Secret Identity,Mad Hat Harry (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Good Characters,Deceased Characters,,,01-01-2011,,Black Hair,Secret Identity,Mister Unknown (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Bad Characters,Living Characters,,,01-01-2011,,Brown Hair,Secret Identity,Morris Major (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Good Characters,Living Characters,,Brown Eyes,01-01-2011,,Brown Hair,Public Identity,Naomi Lord (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,10,1
Bad Characters,Living Characters,,,01-10-2011,,Red Hair,Secret Identity,Nicholas Pierce (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Bad Characters,Living Characters,,Brown Eyes,01-10-2011,,Red Hair,Secret Identity,Norman Rotrig (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Bad Characters,Living Characters,,,01-08-2011,,Blond Hair,Secret Identity,Orphan (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Bad Characters,Living Characters,,,01-02-2011,,,Public Identity,Richard III (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Good Characters,Deceased Characters,,,01-10-2011,,Blond Hair,Public Identity,Robert Kane (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Good Characters,Living Characters,,,01-06-2011,,,Secret Identity,Shedd (New Earth),,02-10-2021,DC Comics,1,,1,10,1
Bad Characters,Living Characters,,Blue Eyes,01-04-2011,,Blue Hair,Secret Identity,Southside (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
,Living Characters,,,01-05-2011,,,Secret Identity,Spangle (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Good Characters,Deceased Characters,,Black Eyes,01-09-2011,,,Secret Identity,Squillic (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Bad Characters,Living Characters,,,01-06-2011,,,,Stephen Lime (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
,Living Characters,,,01-08-2011,,,Secret Identity,SVRMiger (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Neutral Characters,Deceased Characters,,Black Eyes,01-08-2011,,,,Teshom\u00e9 Hawkins (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Good Characters,Living Characters,,Black Eyes,01-09-2011,,Brown Hair,Secret Identity,Theodoric (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Good Characters,Deceased Characters,,White Eyes,01-09-2011,,Blue Hair,Secret Identity,Vegar (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,10,1
Bad Characters,Living Characters,,,01-07-2011,,Blond Hair,Secret Identity,Yo-Yo (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,10,1
Bad Characters,Living Characters,,,01-10-2010,,Brown Hair,Identity Unknown,Ace of Spades VII (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,Brown Eyes,01-08-2010,,Brown Hair,Public Identity,Altman (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Neutral Characters,Living Characters,,,01-12-2010,,Blond Hair,Secret Identity,Bizarro Booster Gold (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Neutral Characters,Living Characters,,,01-12-2010,,Blue Hair,Secret Identity,Bizarro Fire (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
Neutral Characters,Living Characters,,,01-12-2010,,,Secret Identity,Bizarro Firestorm (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Neutral Characters,Living Characters,,,01-12-2010,,,Secret Identity,Bizarro Hawkman (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Black Commando (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,Red Eyes,01-11-2010,,White Hair,Secret Identity,Bogeyman (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,Black Eyes,01-11-2010,,,Secret Identity,Bonehead (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,Blue Eyes,01-08-2010,,Red Hair,Public Identity,Brigadoom (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,British Bulldog (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Deceased Characters,,Blue Eyes,01-02-2010,,Black Hair,Secret Identity,Byrna Brilyant (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
,Deceased Characters,,,01-11-2010,,,,Caleb Skinner (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Captain Jaques (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Cavalry-Man (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,,01-03-2010,,,,Charles English (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Choreographer (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Neutral Characters,Deceased Characters,,,01-01-2010,,,,Chu Jiang Impostor (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Neutral Characters,Living Characters,,White Eyes,01-01-2010,,,,Chu Jung Impostor (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,Black Eyes,01-03-2010,,Black Hair,Public Identity,Cloud (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Living Characters,,,01-12-2010,,Red Hair,Secret Identity,Coalface (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,,01-12-2010,,,Secret Identity,Cornwall Boy (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Living Characters,,Black Eyes,01-10-2010,,Black Hair,Public Identity,Dana Tan (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,,01-02-2010,,,Secret Identity,Diesel (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Drama King (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,Brown Hair,Secret Identity,Fabulous Boater Man (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Living Characters,,,01-11-2010,,Grey Hair,Public Identity,Glyn Droilx (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Neutral Characters,Living Characters,,White Eyes,01-01-2010,,,Identity Unknown,Gong Gong Impostor (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Deceased Characters,,,01-06-2010,,,Secret Identity,Hide (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Ill-Informed White Guy (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Deceased Characters,,Brown Eyes,01-04-2010,,Black Hair,Secret Identity,Immortal Man in Darkness III (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Living Characters,,,01-01-2010,,Red Hair,Public Identity,Isabel Glenn (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,Brown Eyes,01-10-2010,,Black Hair,,Jack of Clubs IV (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,,01-03-2010,,,,Jack of Diamonds III (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,,01-03-2010,,,,Jack of Spades IX (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Living Characters,,,01-08-2010,,Black Hair,,Joshua Dazzleby (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Neutral Characters,Deceased Characters,,,01-03-2010,,Black Hair,,Joshua Turnbull (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Living Characters,,Green Eyes,01-08-2010,,,Secret Identity,Kai-Ro (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,,01-10-2010,,Brown Hair,,King of Diamonds IV (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,,01-03-2010,,,,King of Spades VIII (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Neutral Characters,Living Characters,,White Eyes,01-01-2010,,,Secret Identity,Kuan Ti Impostor (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,Grey Hair,Secret Identity,Lady Nightingale (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Lady Voodoo (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
Neutral Characters,Living Characters,,White Eyes,01-01-2010,,,Identity Unknown,Lei Kung Impostor (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Neutral Characters,Living Characters,,White Eyes,01-01-2010,,,,Lei Zi Impostor (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,,01-11-2010,,,Secret Identity,Luftwaffe (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,White Hair,Secret Identity,Major Hubert (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Living Characters,,Blue Eyes,01-08-2010,,Green Hair,Secret Identity,Mareena (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Living Characters,,Black Eyes,01-11-2010,,Purple Hair,Public Identity,Maxine Gibson (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Living Characters,,Brown Eyes,01-08-2010,,Black Hair,Secret Identity,Micron (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Mighty Morris (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,Brown Eyes,01-04-2010,,Black Hair,Secret Identity,Mind Czar (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Ming Dynasty (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Deceased Characters,,,01-06-2010,,Brown Hair,,Mirror Monarch (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Mister Granite (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Living Characters,,White Eyes,01-03-2010,,Black Hair,Secret Identity,Mister Justice (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,Black Hair,Secret Identity,Momma Cuss (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,,01-07-2010,,Black Hair,Public Identity,Nathaniel Wayne (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,Brown Hair,Secret Identity,Near Miss (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Deceased Characters,,,01-06-2010,,,,Ngo Sik (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Neutral Characters,Living Characters,,Blue Eyes,01-02-2010,,Brown Hair,Public Identity,Nicholas Quinzel (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,Blue Eyes,01-11-2010,,Brown Hair,Secret Identity,Olivia Reynolds II (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,Blond Hair,Secret Identity,Only Child (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Orange Medal (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Oxymoron (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Deceased Characters,,,01-03-2010,,Brown Hair,Secret Identity,Paul F. Burrows (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Pharaoh I (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Pharaoh II (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Deceased Characters,,,01-01-2010,,Brown Hair,Public Identity,Phinea (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,Green Eyes,01-10-2010,,Red Hair,,Queen of Hearts V (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Living Characters,,Yellow Eyes,01-03-2010,,Blond Hair,Public Identity,Quetzlotl (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,Blue Eyes,01-11-2010,,Blond Hair,Secret Identity,Reb (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Living Characters,,,01-08-2010,,,Secret Identity,Rex Stewart (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-08-2010,,,,Rosalyn Mays (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,White Hair,Secret Identity,Rush Hour I (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Rush Hour III (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,Grey Hair,Secret Identity,Senior Citizen (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Settler II (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Settler III (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Settler IV (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Settler V (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,Violet Eyes,01-02-2010,,Green Hair,Public Identity,Sharon Quinzel (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Deceased Characters,,,01-06-2010,,Blond Hair,Secret Identity,Stake (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Sterling Silver (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,,01-07-2010,,,Secret Identity,Steven Frank (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,,01-12-2010,,,Secret Identity,Stone Cold Luke (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,Blue Eyes,01-03-2010,,Brown Hair,Public Identity,Stuart Rawlings (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Super Annuator (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,,01-10-2010,,Black Hair,,Ten of Hearts II (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,,01-03-2010,,,,Ten of Spades VIII (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Deceased Characters,,Yellow Eyes,01-05-2010,,,,Thulka Re (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Tin Bib (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Toxic Tucker (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,,01-12-2010,,,Secret Identity,Two-Ton Ted (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Living Characters,,Blue Eyes,01-02-2010,,Black Hair,Secret Identity,Vivienne (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,11,1
Neutral Characters,Living Characters,,Blue Eyes,01-08-2010,,Blond Hair,Public Identity,Walter Steele (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
,Living Characters,,,01-12-2010,,,Secret Identity,Yellow Peril (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Good Characters,Deceased Characters,,,01-12-2010,,,,Zvvireel (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,11,1
Bad Characters,Living Characters,,Blue Eyes,01-06-2009,,,,Adam Bomb (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Deceased Characters,,,01-01-2009,,,,Airam Sappal (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Living Characters,,Brown Eyes,01-03-2009,,,Public Identity,Alvin Tanner (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Deceased Characters,,,01-08-2009,,Brown Hair,Public Identity,Antinus (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Living Characters,,,01-06-2009,,Black Hair,,Barbara Lane (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Living Characters,,Brown Eyes,01-07-2009,,Black Hair,,Batman Jones (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Living Characters,,,01-08-2009,,Brown Hair,Secret Identity,Big Don Drummond (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Living Characters,,,01-08-2009,,Blond Hair,Secret Identity,Blockbuster IV (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Living Characters,,,01-08-2009,,,Secret Identity,Boneblaster (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Living Characters,,,01-06-2009,,Brown Hair,,Chante Coles (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Living Characters,,Yellow Eyes,01-11-2009,,,Secret Identity,Cinderblock (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Living Characters,,,01-10-2009,,,,Conundrum (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,12,1
,Living Characters,,Brown Eyes,01-03-2009,,Brown Hair,,Cyrus Lord (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Neutral Characters,Living Characters,,Black Eyes,01-10-2009,,Blond Hair,Public Identity,Dax-Am (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Neutral Characters,Living Characters,,Blue Eyes,01-10-2009,,Blond Hair,Secret Identity,Diane Dorst (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Living Characters,,,01-07-2009,,,,Dvorcek (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Living Characters,,,01-09-2009,,Blond Hair,Public Identity,Dyn-Xe (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Deceased Characters,,,01-10-2009,,,,Ed Markham (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Living Characters,,,01-11-2009,,,,Eight of Diamonds I (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Deceased Characters,,,01-10-2009,,,,Eight of Hearts I (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Living Characters,,,01-04-2009,,,,Erszebet Bathory (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Deceased Characters,,,01-10-2009,,,,Five of Diamonds II (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Deceased Characters,,,01-10-2009,,,,Four of Diamonds I (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Deceased Characters,,,01-10-2009,,,,Four of Spades III (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Deceased Characters,,,01-06-2009,,Black Hair,,Greb (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Living Characters,,,01-06-2009,,,,Henry Lane (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Deceased Characters,,Yellow Eyes,01-04-2009,,Red Hair,,Imecsub (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
,Living Characters,,,01-06-2009,,White Hair,,Jonathan Romero (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Living Characters,,,01-08-2009,,Black Hair,Secret Identity,King Billy (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Living Characters,,Red Eyes,01-08-2009,,Red Hair,Secret Identity,La Sangre (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Deceased Characters,,Brown Eyes,01-11-2009,,Brown Hair,Secret Identity,Lightning Bug (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Living Characters,,,01-06-2009,,Black Hair,,Mitchell Lane (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Deceased Characters,,,01-08-2009,,Blue Hair,Secret Identity,N-Emy (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Deceased Characters,,,01-01-2009,,,,Nhoj Sappal (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Living Characters,,Blue Eyes,01-01-2009,,Grey Hair,Public Identity,Norman McCay (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Living Characters,,,01-07-2009,,,Secret Identity,Regulator II (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
,Living Characters,,,01-09-2009,,,,Sarolis (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Living Characters,,Blue Eyes,01-09-2009,,Black Hair,,Six of Spades II (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Deceased Characters,,,01-10-2009,,,,Three of Spades III (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Living Characters,,,01-08-2009,,,,Val-Ty (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Deceased Characters,,,01-10-2009,,Brown Hair,Secret Identity,Vial (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Deceased Characters,,,01-06-2009,,,,Wick (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Good Characters,Living Characters,,Blue Eyes,01-08-2009,,Blond Hair,Public Identity,William von Hammer (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,12,1
Bad Characters,Living Characters,,,01-12-2008,,Black Hair,Secret Identity,Ace of Spades VI (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,13,1
Good Characters,Living Characters,,,01-03-2008,,Red Hair,Public Identity,Agrippe (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,13,1
Bad Characters,Living Characters,,Black Eyes,01-01-2008,,Green Hair,,Clot (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
Neutral Characters,Living Characters,,,01-08-2008,,,,Doctor Mephistopheles (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
Good Characters,Deceased Characters,,,01-02-2008,,,Secret Identity,Elisabeth Saint-Marie (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,13,1
Bad Characters,Living Characters,,Blue Eyes,01-01-2008,,Brown Hair,Secret Identity,Falseface (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,13,1
Good Characters,Deceased Characters,,,01-02-2008,,Brown Hair,Public Identity,Gennes (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,13,1
Bad Characters,Living Characters,,Red Eyes,01-12-2008,,Black Hair,Public Identity,Gluttony II (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
Bad Characters,Living Characters,,,01-03-2008,,,,Hammond Carter (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
Bad Characters,Living Characters,,,01-04-2008,,,,Harriet Pratt (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,13,1
Bad Characters,Living Characters,,Red Eyes,01-12-2008,,Black Hair,Public Identity,Jack (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
Bad Characters,Living Characters,,Red Eyes,01-12-2008,,Black Hair,Public Identity,James (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
Neutral Characters,Living Characters,,,01-10-2008,,White Hair,,Koko (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
,Living Characters,,,01-06-2008,,Brown Hair,Secret Identity,Layla Adams (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,13,1
Bad Characters,Living Characters,,,01-04-2008,,,,Lewis Yarnell (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
Good Characters,Deceased Characters,,,01-02-2008,,Blond Hair,Secret Identity,Margaux de Mortain (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,13,1
,Living Characters,,Blue Eyes,01-06-2008,,Grey Hair,,Mike Virgil (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
,Living Characters,,,01-06-2008,,,,Raymond Gibson (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
Bad Characters,Living Characters,,,01-04-2008,,Black Hair,Public Identity,Recca (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,13,1
Bad Characters,Living Characters,,,01-04-2008,,,,Skitch Benson (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
Bad Characters,Living Characters,,,01-03-2008,,Black Hair,,Sterling Fry (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
Bad Characters,Living Characters,,,01-07-2008,,,,Sun-Chained-In-Ink (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
Good Characters,Living Characters,,,01-06-2008,,Black Hair,Public Identity,Tyson Sykes (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
Bad Characters,Living Characters,,,01-03-2008,,,Public Identity,Victor Sono (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
Bad Characters,Living Characters,,,01-01-2008,,Brown Hair,Secret Identity,White Star (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
Good Characters,Living Characters,,,01-10-2008,,White Hair,Public Identity,Zevonn Parzzx (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,13,1
,Living Characters,,,01-09-2007,,,,Anaea (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,14,1
Neutral Characters,Deceased Characters,,,01-12-2007,,Blond Hair,,Bizarro Aquaman (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,14,1
